id,subject,question,delta_correctness,delta_completeness,delta_clarity,delta_conciseness,delta_overall
b50a0,Chemistry,"निम्न में से कौनसे कार्बोक्सिलिक अम्ल का विकार्बोक्सिलिकरण सर्वाधिक कठिन है ?

The image contains four different molecules, labeled A, B, C, and D. Molecule A consists of a carboxylic acid group attached to a carbon atom, which is also attached to two methyl groups and a carbonyl group. Molecule B consists of a carboxylic acid group attached to a carbon atom, which is also attached to a hydroxyl group. Molecule C consists of a carboxylic acid group attached to a carbon atom, which is also attached to a methyl group. Molecule D consists of a carboxylic acid group attached to a carbon atom, which is also attached to a nitro group.",0.0,0.0,0.0,0.0,0.0
f636b,Mathematics,"यदि A = \[\begin{bmatrix} 1 & tan x \\ -tan x & 1 \end{bmatrix}\], तो |A' A⁻¹| का मान होगा :

The image shows a matrix \( A \) defined as \(\begin{bmatrix} 1 & \tan x \\ -\tan x & 1 \end{bmatrix}\). The question asks to find the value of \(|A' A^{-1}|\), where \( A' \) denotes the transpose of matrix \( A \) and \( A^{-1} \) denotes the inverse of matrix \( A \).",0.0,0.0,0.0,0.0,0.0
8dc60,Physics,"R त्रिज्या का गोलीय कोश, जिस पर एक सामान वितरित आदेश है के केन्द्र पर बिन्दु आवश, है। गालीय काश की जिच्या धीरधीरे R

The diagram shows an equilateral triangle with point charges at each vertex. The top vertex has a charge of +2q, while the bottom left and bottom right vertices each have a charge of +q. The length of each side of the triangle is labeled as 10 cm.",0.0,0.0,0.0,0.0,0.0
8dd01,Physics,"Find rate of heat flow through the spherical shell if its inner surface is maintained at temperature T₁ and outer surface at T₂. (T₁ > T₂)

The diagram shows a spherical shell with inner radius 'a' and outer radius 'b'. The region between the inner and outer surfaces is shaded with horizontal lines, indicating the material of the shell. The inner surface is maintained at temperature T1, and the outer surface is at temperature T2, with T1 > T2. The thermal conductivity of the material is given as K.",0.0,0.0,0.0,0.0,0.0
f73c9,Mathematics,अवकल समीकरण x = 1 + xy \frac{dy}{dx} + \frac{(xy)²}{2!} (\frac{dy}{dx})² + \frac{(xy)³}{3!} (\frac{dy}{dx})³ + ...... का हल है :,0.0,0.0,0.0,0.0,0.0
8e7ff,Mathematics,log(log x) + log(log x⁴ - 3) = 0,0.0,0.0,0.0,0.0,0.0
8f388,Physics,"${{}_{92}^{236}}U \rightarrow {{}_{56}^{140}}Ba + {{}_{36}^{94}}Kr + 2n$

The image shows a nuclear reaction equation. Uranium-236 (U-236) with atomic number 92 decays into Barium-140 (Ba-140) with atomic number 56 and Krypton-94 (Kr-94) with atomic number 36, along with two neutrons (2n).",0.0,0.0,0.0,0.0,0.0
8fe59,Physics,"यदि VA तथा VB बिन्दुओं A तथा B के विभव हो तो दिये गये परिपथ में A तथा B के मध्य तुल्य प्रतिरोध होगा-

The circuit diagram shows two points, A and B, connected by two parallel branches. The upper branch consists of a 10-ohm resistor connected in series with a diode. The lower branch consists of a single 10-ohm resistor. The diode is oriented such that its arrow points from A towards B.",0.0,0.0,0.0,0.0,0.0
81b01,Chemistry,"निम्न यौगिक के मोनो–क्लोरीनीकरण से प्राप्त समावयवियों (त्रिविम समावयवियों को सम्मिलित करते हुए) की अधिकतम समय स है:

The image shows a chemical structure of an organic molecule. The central carbon atom is bonded to a methyl group (CH3), two ethyl groups (CH2CH3), and a hydrogen atom (H).",0.0,0.0,0.0,0.0,0.0
81d7a,Physics,"तार में प्रवाहित धारा के कारण मूल बिन्दु पर चुम्बकीय क्षेत्र है -

The diagram shows a 3D coordinate system with X, Y, and Z axes. A current-carrying wire is arranged in the X-Y plane. The wire consists of three segments: one along the positive X-axis extending to infinity, one along the positive Y-axis extending to infinity, and a circular arc of radius 'a' connecting the ends of the two infinite wires. The current 'I' flows through the wire. The point of interest is the origin of the coordinate system.",0.0,0.0,0.0,0.0,0.0
fed0d,Physics,द्रव्यमान m का एक गुटका खुरदरे क्षैतिज तल पर नियत त्वरण a से चल रहा है। यदि गुटके एवं तल के मध्य घर्षण नियतांक है। से t समय बाद बाह्य कारक द्वारा दी गई शक्ति बराबर है -,0.0,0.0,0.0,0.0,0.0
84974,Physics,"एक गेद को 45° कोण पर झुके नततल के ऊपरी सिरे से क्षैतिज दिशा में v चाल से प्रक्षेपित किया जाता है। तो प्रक्षेपित बिन्दु से गेंद नततल पर कितनी दूर टकराएगी -

The image shows a projectile motion scenario where a ball is projected horizontally with a velocity 'v' from the top of an inclined plane. The inclined plane is at an angle of 45 degrees with respect to the horizontal. The question asks to find the distance where the ball will hit the inclined plane from the point of projection.",0.0,0.0,0.0,0.0,0.0
85286,Mathematics,"Find an upper triangular matrix A such that  $A^3 = \begin{bmatrix} 8 & -76 \\ 0 & 27 \end{bmatrix}$

The image shows a mathematical equation involving matrices. It states that A cubed equals a 2x2 matrix with elements 8, -76 in the first row and 0, 27 in the second row. The task is to find an upper triangular matrix A that satisfies this equation.",0.0,0.0,0.0,0.0,0.0
ea5bb,Physics,"An object is placed infront of a convex lens so that a real image of the same size is obtained. It is then moved 16 cm nearer to the lens, when the image still real and it is three times as large as the object. Find the focal length of the lens.",0.0,0.0,0.0,0.0,0.0
85622,Mathematics,"Let A=(3, 2) and B = (5, 1). ABP is an equilateral triangle is constructed on the side of AB remote from the origin then the orthocentre of triangle ABP is :",0.0,0.0,0.0,0.0,0.0
eb5fb,Physics,"Initially system is at equilibrium, then find acceleration of each block just after cutting.

The diagram shows a system of two blocks suspended vertically. A spring is attached to a fixed support at the top. A 10kg block is connected to the spring at the top and a string at the bottom. A 20kg block is connected to the 10kg block with a string.",0.0,0.0,0.0,0.0,0.0
8606b,Mathematics,"Number of odd integers between 1000 and 8000 which have none of their digits repeated, is:",0.0,0.0,0.0,0.0,0.0
86371,Mathematics,"फलन f: [0, 3] → [1, 29] परिभाषित है, f(x) = 2x3 – 15x² + 36x + 1 तो f होगा :",0.0,0.0,0.0,0.0,0.0
90034,Mathematics,"माना A = $\begin{bmatrix} 0 & 1 & 0 \\ 1 & 0 & 0 \\ 0 & 0 & 1 \end{bmatrix}$ एक $3 \times 3$ आव्यूह है। तो $3 \times 3$ आव्यूहों B, जिनकी प्रविष्टियाँ, समुच्चय, {1, 2, 3, 4, 5} से हैं तथा जो AB = BA को संतुष्ट करते हैं, की संख्या _______

The image shows a mathematical problem involving matrix A, which is a 3x3 matrix. The matrix A is given as follows:

\[ A = \begin{bmatrix} 0 & 1 & 0 \\ 1 & 0 & 0 \\ 0 & 0 & 1 \end{bmatrix} \]

The problem asks to find the number of 3x3 matrices B, whose entries are from the set {1, 2, 3, 4, 5}, such that AB = BA.",0.0,0.0,0.0,0.0,0.0
ebf79,Chemistry,H3PO4 एक त्रिक्षारीय अम्ल है तथा इसका एक लवण NaH2PO4 है। इसे Na3PO4 में परिवर्तित करने के लिए 12 gm NaH2PO4 में 1 (M) NaOH विलयन का कितना आयतन मिलाना चाहिए ?,0.0,0.0,0.0,0.0,0.0
91203,Physics,"The dimensions of a/b in the equation P = (a - t²)/(bx) where P is pressure, x is distance and t is time, are",0.0,0.0,0.0,0.0,0.0
0f350,Mathematics,यदि परवलय $y^2 - kx + 8 = 0$ की नियता का समीकरण $x - 1 = 0$ है तब 'k' का एक मान होगा;,0.0,0.0,0.0,0.0,0.0
94819,Chemistry,1.5 mole of H2 & 5.2 mole I2 are mixed and attain Eqm at 25°C. At Eqm mole of HI formed is 10 mole. Find Kc.,0.0,0.0,0.0,0.0,0.0
0fb19,Chemistry,"इसमें मुक्त मूलक का निर्माण सर्वाधिक सरलता से होता है -

The image shows four different chemical structures, each consisting of a V-shaped structure with a halogen atom attached to one end. The halogen atoms are Chlorine (Cl), Bromine (Br), Fluorine (F), and Iodine (I) respectively.",0.0,0.0,0.0,0.0,0.0
96e35,Mathematics,"यदि 4^(log₂ lnx) = lnx - (ln x)² + 1, तो x =",0.0,0.0,0.0,0.0,0.0
96f96,Chemistry,SO₂Cl₂ की जल के साथ क्रिया कराने पर H₂SO₄ तथा HCl का मिश्रण देता है. आधिक्य जल में SO₂Cl₂ के 1 मोल मिलाकर बनाये गये विलयन को उदासीन करने के लिए NaOH के कितने मोल आवश्यक होगें।,0.0,0.0,0.0,0.0,0.0
8a2ba,Chemistry,10 gm of $X_4O_6$ Contains 5.72 gram of X. Find atomic mass of X.,0.0,0.0,0.0,0.0,0.0
8b355,Chemistry,"CO, CH₄ व N₂ के 10 ml मिश्रण को ऑक्सीजन के आधिक्य के साथ अभिकृत किया गया और 6.5 ml का संकुचन हुआ। जब गैस को KOH के साथ उपचारित किया गया तो 7 ml का संकुचन फिर हुआ। मिश्रण में CO, CH₄ व N₂ आयतन की गणना करें?",0.0,0.0,0.0,0.0,0.0
8b4d7,Physics,"300 J of work is done in sliding a 2 kg block up an inclined plane of height 10m. Taking g = 10 m/s², work done against friction is -

A block is sliding up on an inclined plane. The height of the inclined plane is 10m. A force F is acting on the block in the upward direction. The weight 'mg' of the block is acting in the downward direction. The component of weight 'mgsinθ' is acting downwards along the inclined plane.",0.0,0.0,0.0,0.0,0.0
8c0f1,Mathematics,"$\int \frac{dx}{x^2-10x+9}$

The image shows an integral expression. The expression consists of an integral symbol followed by a fraction. The numerator of the fraction is 'dx', and the denominator is a quadratic expression 'x^2 - 10x + 9'.",0.0,0.0,0.0,0.0,0.0
8c2e8,Physics,"Three particles A, B and C are situated at the vertices of an equilateral triangle ABC of side l at t = 0. Each of the particles moves with constant speed v. A always has its velocity along AB, B along BC and C along CA. At what time will the particles meet each other?

Three particles A, B, and C are positioned at the vertices of an equilateral triangle ABC. The side length of the triangle is denoted as 'l'. At time t=0, each particle begins to move with a constant speed 'v'. Particle A's velocity is always directed along AB, particle B's velocity is along BC, and particle C's velocity is along CA.",0.0,0.0,0.0,0.0,0.0
8cd7d,Mathematics,"ii)

The diagram shows a geometric configuration in a two-dimensional Cartesian coordinate system. The x-axis is horizontal and points to the right, while the y-axis is vertical and points upwards. There are three horizontal lines stacked on top of each other, each of length 'L'. To the left of these lines, there are three vertical lines of length 'L', stacked adjacent to each other. A triangle is positioned such that its base aligns with the top horizontal line and its one side aligns with the rightmost vertical line. The triangle's hypotenuse slopes upwards and to the right.",0.0,0.0,0.0,0.0,0.0
8d210,Physics,"The photodiode is used to detect the optical signals. These diodes are preferably operated in reverse biased mode because:

The image shows a photodiode circuit in a reverse bias configuration. A photodiode, labeled with P and N regions, is connected to a battery. An arrow indicates incident light (Ein) shining on the P region of another photodiode.",0.0,0.0,0.0,0.0,0.0
8d7f8,Physics,"The rectangular components of a vector are (2,2). The corresponding rectangular components of another vector are (1,√3). Find the angle between the two vectors.",0.0,0.0,0.0,0.0,0.0
a9f95,Physics,"The diagram shows a projectile motion scenario. Initially, a projectile is launched with a velocity 'u' at an angle θ with respect to the horizontal. The horizontal component of the initial velocity is labeled as 'ucosθ', and the vertical component is labeled as 'usinθ'. After some time, the projectile reaches a point where its velocity is analyzed again. The horizontal component of the velocity remains 'usinθ', while the vertical component is labeled as 'vy'. The angle between the resultant velocity at this point and the horizontal is labeled as α. The surface is described as smooth.",0.0,0.0,0.0,0.0,0.0
ac34b,Mathematics,"Let the sum of the maximum and the minimum values of the function \(f(x) = \frac{2x^2 - 3x + 8}{2x^2 + 3x + 8}\) be \(\frac{m}{n}\), where \(\gcd(m, n) = 1\). Then m + n is equal to:

The image contains a mathematical expression defining a function \(f(x)\) as \(\frac{2x^2 - 3x + 8}{2x^2 + 3x + 8}\) which is equal to \(\frac{m}{n}\). It is given that the greatest common divisor of \(m\) and \(n\) is 1, denoted as \(\gcd(m, n) = 1\). The task is to find the sum of \(m\) and \(n\).",0.0,0.0,0.0,0.0,0.0
ac6e9,Chemistry,"For the reaction N2O4 ⇌ 2NO2, at 350 K, the value of Kc = 0.4. The value of Kp for the reaction at the same temperature would be

The image presents a chemistry question regarding the equilibrium reaction between N2O4 and 2NO2. The reaction is shown with a double arrow indicating equilibrium. The question provides the value of Kc as 0.4 at a temperature of 350 K and asks for the value of Kp at the same temperature.",0.0,0.0,0.0,0.0,0.0
ac7ba,Mathematics,समीकरण sin⁻¹ (5/x) + sin⁻¹ (12/x) = π/2 को संतुष्ट करने वाले कुल x की संख्या होगी :,0.0,0.0,0.0,0.0,0.0
ad810,Mathematics,"A variable straight line passes through the points of intersection of the lines, x + 2y = 1 and 2x - y = 1 and meets the co-ordinate axes in A and B. The locus of the middle point of AB is:",0.0,0.0,0.0,0.0,0.0
977f8,Mathematics,"Prove that for all values of \(\theta\), \(\begin{vmatrix} \sin(2\theta + \frac{4\pi}{3}) & \sin( \frac{2\pi}{3} + \theta) & \sin \theta \\ \sin 2\theta & \cos \theta & \cos( \frac{2\pi}{3} + \theta) \\ \sin(2\theta - \frac{4\pi}{3}) & \sin( \frac{2\pi}{3} - \theta) & \cos( \frac{2\pi}{3} - \theta) \end{vmatrix} = 0\)

The image shows a mathematical expression involving a determinant set equal to zero. The determinant is a 3x3 matrix with entries consisting of trigonometric functions such as sine and cosine with arguments involving \(\theta\) and constants like \(\frac{2\pi}{3}\) and \(\frac{4\pi}{3}\). The expression is set equal to zero, suggesting a problem where one needs to prove that the determinant is zero for all values of \(\theta\).",0.0,0.0,0.0,-1.0,0.0
97a40,Mathematics,निम्नलिखित विकल्पों में से किन विकल्पो में वास्तविक संख्या 'm' वास्तविक संख्या 'n' से बड़ी होगी ?,0.0,0.0,0.0,0.0,0.0
97e56,Physics,"A small ball having charge +q and mass m is suspended at one end of a light string of length l and can rotate in vertical plane. A uniform electric field E exists in the region in vertically upward direction (mg > qE). The minimum velocity required to be imparted to the ball at the lowest position in order to successfully negotiate the loop :

A small ball with charge +q and mass m is suspended at the end of a light string of length l. The ball can rotate in a vertical plane. A uniform electric field E exists in the region, pointing vertically upward, with the condition mg > qE.",0.0,0.0,0.0,0.0,0.0
97e5b,Physics,"Consider the nuclear reaction \( X^{200} \rightarrow A^{110} + B^{90} \). If the binding energy per nucleon for X, A and B is 7.4 MeV, 8.2 MeV and 8.2 MeV respectively, what is the energy released?

The image shows a nuclear reaction where a nucleus X with mass number 200 decays into two nuclei, A with mass number 110 and B with mass number 90. The binding energy per nucleon for X, A, and B are given as 7.4 MeV, 8.2 MeV, and 8.2 MeV, respectively.",0.0,0.0,0.0,0.0,0.0
11b5b,Mathematics,"योग ज्ञात कीजिए।
${ }^{r}C_{r}$ + ${ }^{r+1}C_{r}$ + ${ }^{r+2}C_{r}$ + ${ }^{r+3}C_{r}$

The image contains a mathematical expression involving combinations. The expression is a sum of four terms, each representing a combination. The terms are ${ }^{r}C_{r}$, ${ }^{r+1}C_{r}$, ${ }^{r+2}C_{r}$, and ${ }^{r+3}C_{r}$.",0.0,0.0,0.0,0.0,0.0
98333,Mathematics,"Find number of 11 digit numbers that can be formed using 0,0,0,1,1,2,3,3,3,4,4",0.0,0.0,0.0,0.0,0.0
98d95,Mathematics,"If \(x = \operatorname{cosec} \theta - \sin \theta\); \(y = \operatorname{cosec}^n \theta - \sin^n \theta\), then show that \((x^2 + 4) \left(\frac{dy}{dx}\right)^2 - n^2(y^2 + 4) = 0\).",0.0,0.0,0.0,0.0,0.0
99901,Chemistry,"CH3-CH=CH2 - Ni/H2 ?

The image shows a chemical reaction scheme. Propene (CH3-CH=CH2) is reacted with Nickel (Ni) and Hydrogen (H2). The question mark indicates that the product of the reaction is to be determined.",0.0,0.0,0.0,0.0,0.0
9c6bf,Mathematics,"यदि \(\int_{0}^{1} \frac{2e^{2x} + xe^x + 3e^x + 1}{(e^x + 1)^2 (e^x + x + 1)^2} dx = K - \frac{1}{(e+1)(e+2)}\), जहाँ K अचर है, K ज्ञात कीजिए।

The image contains a definite integral expression set equal to another expression involving a constant K. The definite integral is from 0 to 1 of the function \(\frac{2e^{2x} + xe^x + 3e^x + 1}{(e^x + 1)^2 (e^x + x + 1)^2}\) with respect to x. This is set equal to \(K - \frac{1}{(e+1)(e+2)}\). The task is to find the value of K, where K is a constant.",0.0,0.0,0.0,0.0,0.0
127e5,Mathematics,Prove that \( \sec x + \tan x = \tan \left( \frac{\Pi}{4} + \frac{x}{2} \right) \),0.0,0.0,0.0,0.0,0.0
9e8d6,Mathematics,"3 × 3 कोटि के आव्यूहों A की संख्या, जिसके सभी अवयव 0 या 1 है तथा जिनके लिए निकाय \(A \begin{bmatrix} x \\ y \\ z \end{bmatrix} = \begin{bmatrix} 1 \\ 0 \\ 0 \end{bmatrix}\) के ठीक दो भिन्न हल विद्यमान हो, होगी :

The image presents a mathematical problem involving a 3x3 matrix A, a vector \(\begin{bmatrix} x \\ y \\ z \end{bmatrix}\), and a zero vector \(\begin{bmatrix} 1 \\ 0 \\ 0 \end{bmatrix}\). The problem asks to find the number of such matrices A with elements being either 0 or 1, such that the system \(A \begin{bmatrix} x \\ y \\ z \end{bmatrix} = \begin{bmatrix} 1 \\ 0 \\ 0 \end{bmatrix}\) has exactly two distinct solutions.",0.0,0.0,0.0,0.0,0.0
01a13,Chemistry,1.0 mol of Fe reacts completely with 0.65 mol of O₂ to give a mixture of only FeO and Fe₂O₃. The mole ratio of ferrous oxide to ferric oxide is,0.0,0.0,0.0,0.0,0.0
095f7,Mathematics,"Find the coefficient of x^r in the expression of (x+3)^(n-1)+(x+3)^(n-2)(x+2)+(x+3)^(n-3)(x+2)^2+.....+(x+2)^(n-1).

The image shows a mathematical expression that is a series of terms. The series starts with (x+3)^(n-1), then adds (x+3)^(n-2)(x+2), followed by (x+3)^(n-3)(x+2)^2, and continues in this pattern until the last term, which is (x+2)^(n-1). The task is to find the coefficient of x^r in this expression.",0.0,0.0,0.0,0.0,0.0
09954,Mathematics,"$\int_{0}^{1/2} \frac{dx}{(1-2x^2)\sqrt{1-x^2}}$

The image shows a definite integral expression. The integral symbol is present with limits of integration from 0 to 1/2. The integrand is a fraction with 'dx' in the numerator and the product of two terms in the denominator: (1 - 2x^2) and the square root of (1 - x^2).",0.0,0.0,0.0,0.0,0.0
0aa75,Mathematics,"Number of 4 digit numbers of the form N= abcd which satisfy following three conditions:
(i) 4000 <= N < 6000  (ii) N is a multiple of 5  (iii) 3 <= b < c <= 6 is equal to",0.0,0.0,0.0,0.0,0.0
0ac97,Mathematics,"Point P is chosen in the first quadrant on the line through A and B. Points C and D are chosen on the x and y-axis respectively, so that PDOC is a rectangle. In the diagram, a line is drawn through the points A(0, 16) and B(8, 0). The perpendicular distance of the line AB from the point (2, 2) is:

The diagram shows a coordinate plane with the x-axis and y-axis. Point A is located at (0, 16) on the y-axis, and point B is located at (8, 0) on the x-axis. There is a point P in the first quadrant. Points C and D are on the x and y axes respectively, such that PDOC forms a rectangle. A line is drawn through points A and B.",0.0,0.0,0.0,0.0,0.0
0b140,Mathematics,"Prove that for all values of \(\theta\), \(\begin{vmatrix} \sin \theta & \cos \theta & \sin 2\theta \\ \sin(\theta + \frac{2\pi}{3}) & \cos(\theta + \frac{2\pi}{3}) & \sin(2\theta + \frac{4\pi}{3}) \\ \sin(\theta - \frac{2\pi}{3}) & \cos(\theta - \frac{2\pi}{3}) & \sin(2\theta - \frac{4\pi}{3}) \end{vmatrix} = 0\)

The image shows a mathematical expression involving trigonometric functions arranged in a determinant format. The determinant consists of three rows and three columns. The first row contains \(\sin \theta\), \(\cos \theta\), and \(\sin 2\theta\). The second row contains \(\sin(\theta + \frac{2\pi}{3})\), \(\cos(\theta + \frac{2\pi}{3})\), and \(\sin(2\theta + \frac{4\pi}{3})\). The third row contains \(\sin(\theta - \frac{2\pi}{3})\), \(\cos(\theta - \frac{2\pi}{3})\), and \(\sin(2\theta - \frac{4\pi}{3})\). The entire determinant is set equal to 0.",0.0,0.0,0.0,0.0,0.0
0c24e,Mathematics,\(\lim_{x\to0} sin^{-1}(sec x)\):,0.0,0.0,0.0,0.0,0.0
13b0d,Mathematics,"माना a,b,c वास्तविक संख्याएँ है एवं a ≠ 0 तथा α, β समीकरण \(ax^2 + bx + c = 0\) के मूल हैं, तो समीकरण \(a^3 x^2 + abcx + c^3 = 0\) के मूलों को α, β के पदों में व्यक्त करो।",0.0,0.0,0.0,0.0,0.0
eec01,Physics,"The temperature drop through each layer of a two layer furnace wall is shown in figure. Assume that the external temperature T₁ and T₃ are maintained constant and T₁ > T₃. If the thickness of the layers x₁ and x₂ are the same, which of the following statements are correct.

The diagram shows a graph of temperature (T) versus position (x) for a two-layer furnace wall. The x-axis represents the position through the wall, and the y-axis represents the temperature. The wall consists of two layers with thermal conductivities k1 and k2, and thicknesses x1 and x2 respectively. The external temperatures T1 and T3 are maintained constant, with T1 > T3. The temperature decreases linearly through each layer, with a steeper slope in the first layer (k1) than in the second layer (k2).",0.0,0.0,0.0,0.0,0.0
ef090,Mathematics,"If \(\alpha, \beta\) are the integral roots of the quadratic equation \(x^2-\alpha\beta x + \alpha^2+\beta=0\) then number of possible different quadratic equation(s) is:",0.0,0.0,0.0,0.0,0.0
ef436,Physics,"A uniform ring of mass m and radius a and a sphere of mass M and radius a are released in free space. Consider only gravitational force between sphere and ring. Find acceleration of ring at given separation. If plane of ring is perpendicular to line joining centers.

The diagram shows a sphere of mass M and a ring of mass m separated by a distance. The sphere has a radius 'a'. The ring also has a radius 'a'. The distance between the center of the sphere and the center of the ring is \(\sqrt{3}\)a. The plane of the ring is perpendicular to the line joining the centers of the sphere and the ring.",0.0,0.0,0.0,0.0,0.0
141af,Mathematics,"For a geometric progression if \(T_3 = 2, T_6 = -\frac{1}{4}\) find \(T_{10}\).",0.0,0.0,0.0,0.0,0.0
f09df,Mathematics,"$\lim_{x \to \frac{\pi}{2}} \tan^2 x \left( \left( 2\sin^2 x + 3\sin x + 4 \right)^{\frac{1}{2}} - \left( \sin^2 x + 6\sin x + 2 \right)^{\frac{1}{2}} \right)$ बराबर है :

The image contains a mathematical expression involving a limit, trigonometric functions, and algebraic terms. Specifically, it shows the limit of an expression as x approaches π/2. The expression involves the square of the tangent function, 
$\tan^2(x)$, multiplied by a difference of two terms, each involving square roots of expressions containing $\sin^2(x)$ and $\sin(x)$.",0.0,0.0,0.0,0.0,0.0
f151c,Chemistry,"N₂ and H₂ are taken in 1 : 3 molar ratio in a closed vessel to attained the following equilibrium N₂(g) + 3H₂(g) ⇌ 2NH₃(g). Find Kp for reaction at total pressure of 2P if P at equilibrium is P/3

The image shows a chemical equilibrium reaction where nitrogen gas (N2) reacts with hydrogen gas (H2) to produce ammonia gas (NH3). The reaction is represented as N2(g) + 3H2(g) ⇌ 2NH3(g). The problem states that N2 and H2 are taken in a 1:3 molar ratio in a closed vessel. The task is to find the equilibrium constant Kp for the reaction at a total pressure of 2P, given that the partial pressure of N2 at equilibrium is P/3.",0.0,0.0,0.0,0.0,0.0
f15ad,Physics,"A particle changes its position from (2,2,2) to (3,4,5) displacement of particle is given by:",0.0,0.0,0.0,0.0,0.0
17423,Physics,"Two vectors acting in the opposite directions have a resultant of 10 units. If they act at right angles to each other, then the resultant is 50 units. Calculate the magnitude of two vectors. Forces of magnitude 5N, 12N & 13N acting on a body be zero If sin 23° = (5/13)",0.0,0.0,0.0,0.0,0.0
fdc4c,Mathematics,"For any parabola focus is (2,1) and directrix is 2x - 3y + 1 = 0, then equation of the latus rectum is :",0.0,0.0,0.0,0.0,0.0
f88e8,Mathematics,"यदि समीकरण $x^2 + ax + 1 = 0$ के मूलो का अंतर $\sqrt{5}$ से कम है, तब a के संभव मानों का समुच्चय है",0.0,0.0,0.0,0.0,0.0
f956d,Physics,त्रिज्या R के एक ठोस गोले में असमान आवेश घनत्व है जो ρ=ρ₀x द्वारा दिया गया है जहाँ x गोले के केंद्र से दूरी है। गोले के अंदर और बाहर एक सामान्य बिंदु पर द्विद्युत क्षेत्र ज्ञात करें।,0.0,0.0,0.0,0.0,0.0
fa084,Physics,"'d' व्यास वाला एक पुंज दर्शाए अनुसार कॉच के एक अर्द्धगोले पर आपतित किया जाता है। यदि अर्द्धगोले की वक्रता त्रिज्या d से बहुत अधिक है, तब अर्द्धगोले के आधार पर पुंज का व्यास होगा।

The diagram shows a beam of light with diameter 'd' incident on a glass hemisphere. The hemisphere has a refractive index of \(\mu = 3/2\), and it is surrounded by a medium with a refractive index of \(\mu = 1\). The diameter of the beam is indicated by arrows pointing towards each other, labeled 'd'.",0.0,0.0,0.0,0.0,0.0
07241,Mathematics,"माना A = $\begin{pmatrix} 2 & -2 \\ 1 & -1 \end{pmatrix}$ तथा B = $\begin{pmatrix} -1 & 2 \\ -1 & 2 \end{pmatrix}$ है। तो समुच्चय {(n, m) : n, m ∈ {1, 2, ..., 10} तथा nA^n + mB^m = I} अवयवों की संख्या है ____

The image contains mathematical expressions defining two matrices, A and B. Matrix A is a 2x2 matrix with elements 2, -2, 1, and -1. Matrix B is also a 2x2 matrix with elements -1, 2, -1, and 2. The question asks to find the number of elements in the set {(n, m) : n, m ∈ {1, 2, ..., 10} such that nA^n + mB^m = I}, where I is the identity matrix.",0.0,0.0,0.0,0.0,0.0
9fea5,Chemistry,"On decomposition of NH4HS, the following equilibrium is established : NH4HS(s) ⇌ NH3(g) + H2S (g). If the total pressure is P atm, then the equilibrium constant Kp is equal to

The image shows the chemical reaction of the decomposition of ammonium hydrosulfide (NH4HS) into ammonia (NH3) and hydrogen sulfide (H2S). The reaction is in equilibrium, indicated by a double arrow. The physical state of each compound is specified in parentheses: (s) for solid NH4HS and (g) for gaseous NH3 and H2S. The question asks to find the equilibrium constant Kp, given that the total pressure is P atm.",0.0,0.0,0.0,0.0,0.0
a038a,Chemistry,"Phosphorus pentachloride dissociates as follows, is a closed reaction vessel, PCl5(g) <=> PCl3(g) + Cl2(g). If total pressure at equilibrium of the reaction mixture is P and degree of dissociation of PCl5 is x, the partial pressure of PCl3 will be

The image shows the chemical reaction of Phosphorus pentachloride dissociating into Phosphorus trichloride and Chlorine gas. The reaction is reversible and is represented by equilibrium arrows. The chemical equation is: PCl5(g) <=> PCl3(g) + Cl2(g). It is mentioned that the reaction takes place in a closed reaction vessel. The total pressure at equilibrium of the reaction mixture is P, and the degree of dissociation of PCl5 is x.",0.0,0.0,0.0,0.0,0.0
a0be1,Physics,The temperature of 100 gm of water is to be raised from 24°C to 90°C by adding steam to it. Calculate the mass of the steam required for this purpose.,0.0,0.0,0.0,0.0,0.0
073c8,Physics,"If wavelength of the first line of the Paschen series of hydrogen atom is 720 nm, then the wavelength of the second line of this series is _______ nm. (Nearest integer)",0.0,0.0,0.0,0.0,0.0
a4b68,Mathematics,3+2log_{x+1}3=2log_3(x+1),0.0,0.0,0.0,0.0,0.0
a686b,Mathematics,$\sin^2 A + \sin^2 B - \sin^2 C = 2 \sin A \sin B \cos C$,0.0,0.0,0.0,0.0,0.0
a8355,Mathematics,"3 × 3 कोटि के आव्यूहों A की संख्या, जिसके सभी अवयव 0 या 1 है तथा जिनके लिए निकाय \(A \begin{bmatrix} x \\ y \\ z \end{bmatrix} = \begin{bmatrix} 1 \\ 0 \\ 0 \end{bmatrix}\) के ठीक दो भिन्न हल विद्यमान हो, होगी :

The image presents a mathematical problem involving a 3x3 matrix A, a vector \(\begin{bmatrix} x \\ y \\ z \end{bmatrix}\), and a zero vector \(\begin{bmatrix} 1 \\ 0 \\ 0 \end{bmatrix}\). The problem asks to find the number of such matrices A with elements being either 0 or 1, such that the system \(A \begin{bmatrix} x \\ y \\ z \end{bmatrix} = \begin{bmatrix} 1 \\ 0 \\ 0 \end{bmatrix}\) has exactly two distinct solutions.",0.0,0.0,0.0,0.0,0.0
